LASTREPORTEDDATE,STATION_ID,REGION_ID,RegionName,STATIONNAME,SHORT_NAME,LATITUDE,LONGITUDE,NUM_EBIKES_AVAILABLE,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,CAPACITY,HAS_KIOSK
11/26/2019,142,8,Cambridge,Alewife Station at Russell Field,M32033,42.396105,-71.139459,0,17,6,23,TRUE
11/26/2019,397,104,Everett,Broadway at Beacham St,V32011,42.398361,-71.063738,0,9,6,15,TRUE
11/26/2019,232,10,Boston,Four Corners - 157 Washington St,C32037,42.304128,-71.079295,0,5,6,11,TRUE
11/26/2019,185,8,Cambridge,Third at Binney,M32048,42.365445,-71.082771,0,9,6,15,TRUE
11/26/2019,393,104,Everett,Ferry St at Pleasantview Ave,V32007,42.409149,-71.045977,0,9,6,15,TRUE
11/26/2019,441,10,Boston,Sullivan Square,D32053,42.384452,-71.075149,0,13,6,19,TRUE
11/26/2019,75,8,Cambridge,Lafayette Square at Mass Ave / Main St / Columbia St,M32009,42.363465,-71.100573,0,8,6,15,TRUE
11/26/2019,374,10,Boston,Tremont St at Hamilton Pl,B32056,42.356683,-71.061666,0,13,6,19,TRUE
11/26/2019,78,9,Somerville,Union Square - Somerville,S32002,42.379658,-71.093943,0,12,6,19,TRUE
11/26/2019,348,10,Boston,Talbot Ave At Blue Hill Ave,C32043,42.294583,-71.087111,0,9,6,15,TRUE
11/26/2019,341,10,Boston,Roslindale Village - Washington St,C32046,42.286307,-71.128205,0,9,6,15,TRUE
11/26/2019,43,10,Boston,Rowes Wharf at Atlantic Ave,D32008,42.357143,-71.050699,0,9,6,15,TRUE
11/26/2019,74,8,Cambridge,Harvard Square at Mass Ave/ Dunster,M32018,42.373268,-71.118579,0,12,6,19,TRUE
11/26/2019,380,8,Cambridge,Mass Ave at Albany St,M32061,42.361358,-71.096703,0,12,6,18,TRUE
11/26/2019,93,10,Boston,JFK/UMass T Stop,C32013,42.32034,-71.05118,0,9,6,15,TRUE
11/26/2019,94,10,Boston,Main St at Austin St,D32020,42.375603,-71.064608,0,5,6,11,TRUE
11/26/2019,21,10,Boston,Prudential Center - Belvedere St,C32007,42.34652,-71.080658,0,12,6,18,TRUE
11/26/2019,99,9,Somerville,Wilson Square,S32005,42.385582,-71.113341,0,9,6,15,TRUE
11/26/2019,329,9,Somerville,Washington St at Myrtle St,S32021,42.3817,-71.083776,0,9,6,15,TRUE
11/26/2019,59,10,Boston,Chinatown Gate Plaza,D32015,42.351356,-71.059367,0,11,6,19,TRUE
11/26/2019,29,10,Boston,Innovation Lab - 125 Western Ave at Batten Way,A32011,42.363732,-71.124565,0,10,5,15,TRUE
11/26/2019,258,10,Boston,Gallivan Blvd at Adams St,C32040,42.282976,-71.054667,0,10,5,15,TRUE
11/26/2019,56,10,Boston,Dudley Square - Dudley St at Warren St,B32017,42.329843,-71.083866,0,9,5,14,TRUE
11/26/2019,10,10,Boston,B.U. Central - 725 Comm. Ave.,A32003,42.350406,-71.108279,0,5,5,11,TRUE
11/26/2019,217,10,Boston,Orient Heights T Stop - Bennington St at Saratoga St,A32035,42.386781,-71.006098,0,14,5,19,TRUE
11/26/2019,205,10,Boston,Bowdoin St at Quincy St,B32031,42.307852,-71.065122,0,10,5,15,TRUE
11/25/2019,434,10,Boston,Spring St at Powell St,C32087,42.277484,-71.163415,0,14,5,19,TRUE
11/26/2019,16,10,Boston,Back Bay T Stop - Dartmouth St at Stuart St,C32003,42.348074,-71.07657,0,13,5,19,TRUE
11/26/2019,369,10,Boston,Boston Public Market,D32044,42.362549,-71.057374,0,9,5,15,TRUE
11/26/2019,177,8,Cambridge,University Park,M32040,42.362648,-71.100061,0,14,5,19,TRUE
11/26/2019,103,4,Brookline,JFK Crossing at Harvard St. / Thorndike St.,K32004,42.346563,-71.128374,0,10,5,15,TRUE
11/26/2019,160,10,Boston,Wentworth Institute of Technology - Huntington Ave at Vancouver St,B32021,42.337586,-71.096271,0,9,5,14,TRUE
11/26/2019,150,10,Boston,State Street at Channel Center,C32024,42.344137,-71.052608,0,14,5,19,TRUE
11/26/2019,146,10,Boston,Murphy Skating Rink - 1880 Day Blvd,C32023,42.336448,-71.023739,0,14,5,19,TRUE
11/26/2019,389,104,Everett,Everett Square (Broadway at Chelsea St),V32003,42.407259,-71.055464,0,9,5,14,TRUE
11/26/2019,340,10,Boston,Blue Hill Ave at Almont St,C32044,42.274621,-71.093726,0,14,5,19,TRUE
11/26/2019,138,10,Boston,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,C32022,42.326599,-71.066498,0,10,5,15,TRUE
11/26/2019,97,8,Cambridge,Harvard University River Houses at DeWolfe St / Cowperthwaite St,M32038,42.36919,-71.117141,0,14,5,19,TRUE
11/26/2019,117,8,Cambridge,Binney St / Sixth St,M32027,42.366088,-71.086336,0,14,5,19,TRUE
11/26/2019,390,104,Everett,Broadway at Lynde St,V32004,42.396484,-71.065468,0,11,4,15,TRUE
11/26/2019,353,10,Boston,Mattapan Library,C32050,42.277389,-71.09325,0,11,4,15,TRUE
